Firm Name,MSRB ID,State,Registrant Type
APW Capital Updated Inc.,A5503,NJ,Broker Dealer
"Zeus Financial, LLC",A7464,FL,Broker Dealer
"Capital Research Brokerage Services, LLC",A7189,CA,Broker Dealer
"Capital City Securities, LLC",A6913,OH,Broker Dealer
"Mutual Funds Associates, Inc.",A5988,NY,Broker Dealer
"Fairport Capital, Inc.",A5915,AZ,Broker Dealer/Municipal Advisor
RICE FINANCIAL PRODUCTS COMPANY,A2966,TN,Broker Dealer
"First Citizens Investor Services, Inc.",A5189,NC,Broker Dealer
Van Clemens & Co. Incorporated,A7631,MN,Broker Dealer
"David Lerner Associates, Inc.",A0887,NY,Broker Dealer
"Bernardi Securities, Inc.",A2043,TX,Broker Dealer
"Citizens Securities, Inc.",A4803,RI,Broker Dealer
"Monarch Capital Group, LLC",A6421,NY,Broker Dealer
HC Denison Company,A0377,WI,Broker Dealer
"JKR & Co., Inc.",A0786,CA,Broker Dealer
Blakeslee & Blakeslee Inc.,A3616,CA,Broker Dealer
CADZ Securities Inc,A7641,FL,Broker Dealer
Thornton Farish Inc.,A1357,AL,Broker Dealer/Municipal Advisor
LPL Financial LLC,A1145,SC,Broker Dealer
Millennium Advisors LLC,A7334,NC,Broker Dealer
Infinity Financial Services,A6883,CA,Broker Dealer
"Capital Management Securities,",A0231,MN,Broker Dealer
EFG Capital International Corp,A4865,FL,Broker Dealer
"Linden Thomas and Company Securities, LLC",A7482,NC,Broker Dealer
"Financial Security Management, Inc.",A5952,VA,Broker Dealer
"Tavenner Company, (The)",A6123,OH,Broker Dealer
"Andes Capital Group, LLC",A6670,IL,Broker Dealer
Commonwealth Financial Network,A3246,MA,Broker Dealer
Correll Co. Investment Services Corp.,A5964,IL,Broker Dealer
D. Boral Capital,A6574,NY,Broker Dealer
"GlobaLink Securities, Inc",A6781,CA,Broker Dealer
Tocqueville Securities L.P.,A3638,NY,Broker Dealer
Virtu Americas LLC,A7128,NY,Broker Dealer
Quint Capital Corporation,A7474,NY,Broker Dealer
Davenport & Company LLC,A0364,VA,Broker Dealer/Municipal Advisor
Huntleigh Securities Corporation,A0850,MO,Broker Dealer
"BlackRock Investments, LLC",A7038,NY,Broker Dealer
BANORTE SECURITIES INTERNATIONAL LTD,A7574,TX,Broker Dealer
Axos Invest LLC,A7563,NV,Broker Dealer
"StateTrust Investments, Inc.",A5865,FL,Broker Dealer
"Northern Lights Distributors, LLC",A7368,NE,Broker Dealer
"FBL Marketing Services, LLC",A6486,IA,Broker Dealer
Paulson Investment LLC,A7428,OR,Broker Dealer
"San Blas Securities, LLC",A7523,IL,Broker Dealer
"Larson Financial Securities, LLC",A7083,MO,Broker Dealer
Safra Securities LLC,A7350,NY,Broker Dealer
Nancy Barron & Associates Inc.,A4075,KY,Broker Dealer
"Joe Jolly & Co., Inc.",A0797,AL,Broker Dealer
Roosevelt & Cross Incorporated,A1218,NY,Broker Dealer/Municipal Advisor
"Hartfield,Titus & Donnelly LLC",A0626,NJ,Broker Dealer
Maxim Group LLC,A6154,NY,Broker Dealer
"BNY Mellon Capital Markets, LLC",A4685,NY,Broker Dealer
"Stifel Independent Advisors, LLC",A3914,MO,Broker Dealer
Allen & Company LLC,A0024,NY,Broker Dealer
"Nelson Securities, Inc.",A5975,WA,Broker Dealer
Tower Principal Markets LLC,A7645,SC,Broker Dealer
Pershing LLC,A0399,NJ,Broker Dealer
"ADVANCED ADVISOR GROUP, LLC.",A6783,MN,Broker Dealer
"First Brokers Securities, LLC",A4066,NJ,Broker Dealer
"Belle Haven Investments, L.P.",A3977,NY,Broker Dealer
"Conners & Co., Inc.",A0304,OH,Broker Dealer
OpenYield Trading LLC,A7630,NY,Broker Dealer
"Ameriprise Financial Services, LLC",A2663,MN,Broker Dealer
J Alden Associates,A4978,PA,Broker Dealer
Sanderlin Securities LLC,A5732,TN,Broker Dealer
"International Money Management Group, Inc",A2442,MD,Broker Dealer
"Alterna Securities, Inc.",A7076,TX,Broker Dealer
TIGRESS FINANCIAL PARTNERS LLC,A7385,NY,Broker Dealer
Cambridge Investment Research,A4785,IA,Broker Dealer
"Investors Brokerage of Texas, Ltd.",A2080,TX,Broker Dealer
E.F.Hutton & Co. LLC,A7663,NM,Broker Dealer
"Uhlmann Price Securities, LLC",A5142,IL,Broker Dealer
"Murray Securities, Inc.",A6819,TX,Broker Dealer
"Herbert J Sims & Co., Inc.",A1481,CT,Broker Dealer/Municipal Advisor
Pinnacle Investments LLC,A6918,NY,Broker Dealer
"Folio Investments, Inc.",A7586,VA,Broker Dealer
"Signal Securities, Inc.",A3373,TX,Broker Dealer
"Monere Investments, Inc.",A7411,IL,Broker Dealer
MGO Securities Corp.,A6185,OH,Broker Dealer
Arvest Wealth Management,A5030,AR,Broker Dealer
"Geneos Wealth Management, Inc.",A6087,CO,Broker Dealer
UBS Securities LLC,A1381,NY,Broker Dealer
Folger Nolan Fleming Douglas,A0516,DC,Broker Dealer
Aurora Securities Inc,A7175,MI,Broker Dealer
"A. P. Securities, Inc.",A6373,NY,Broker Dealer
Feltl & Company,A6072,MN,Broker Dealer
"Rhodes Securities, Inc.",A2796,TX,Broker Dealer
Amuni Financial Inc.,A0039,FL,Broker Dealer
"American Century Investment Services, Inc.",A6158,MO,Broker Dealer
"Sabadell Securities USA, Inc.",A6970,FL,Broker Dealer
Credit Agricole Securities (USA) Inc.,A3238,NY,Broker Dealer
DaVinci Capital Management,A6113,MA,Broker Dealer
"Siebert Williams Shank & Co., LLC",A5074,NY,Broker Dealer/Municipal Advisor
"Ameritas Investment Company, LLC",A2110,NE,Broker Dealer/Municipal Advisor
"LO Thomas & Co., Inc.",A1349,NJ,Broker Dealer
