"MSRB Number","Firm Name","EBS ID"
A4470,"CABRERA CAPITAL MARKETS, LLC",CABR
A1193,"RICHARDS, MERRILL & PETERSON INC.",RMPI
A5773,"TRADEWEB DIRECT LLC",TWDS
A6980,"ETC BROKERAGE SERVICES, LLC",ETCB
A5962,"JACQUES FINANCIAL LLC",JACF
A7076,"ALTERNA SECURITIES, INC.",ACTI
A6883,"INFINITY FINANCIAL SERVICES",NFTY
A2966,"RICE FINANCIAL PRODUCTS COMPANY",RICE
A2770,"TRADEUP SECURITIES, INC.",MRSC
A2873,"UNITED PLANNERS'FIN.SVC.OF AME",UPLN
A1555,"POPULAR SECURITIES, LLC",POPS
A6789,"GUGGENHEIM SECURITIES, LLC",LNKS
A0823,"KENSINGTON CAPITAL CORP.",KENS
A7236,"BROWNSTONE INVESTMENT GROUP, LLC",BIGG
A7428,"PAULSON INVESTMENT LLC",PICL
A6002,"RNR SECURITIES, L.L.C.",RNRS
A6330,"S.L. REED & COMPANY",SLRD
A7574,"BANORTE SECURITIES INTERNATIONAL LTD",BISI
A6808,"AVENTURA SECURITIES, LLC",AVEN
A3684,"WORLD INVESTMENTS, LLC",TFSS
A7050,"CALDWELL SUTTER CAPITAL, INC.",CALD
A7128,"VIRTU AMERICAS LLC",NITE
A0626,"HARTFIELD,TITUS & DONNELLY LLC",HFLD
A6969,"SECU BROKERAGE SERVICES",SEBS
A6013,"SENTINEL SECURITIES, INC.",SCTL
A5740,"SCOTT JAMES GROUP, INC.",SJGM
B0474,"WELLS FARGO BANK, N.A. MUNICIPAL FINANCE GROUP",WBNA
A2442,"INTERNATIONAL MONEY MANAGEMENT GROUP, INC",IMMG
B0027,"BOKF, NA",BOKL
A3666,"AMERICAN ENTERPRISE INVESTMENT SERVICES INC.",HRBF
A4320,"REGISTER FINANCIAL ASSOCIATES, INC.",REGR
A3500,"US BANCORP INVESTMENTS, INC.",FBSB
A2014,"REGAL SECURITIES, INC.",RGLD
A4446,"GLOBAL FINANCIAL SERVICES, LLC",GFSI
A2663,"AMERIPRISE FINANCIAL SERVICES, LLC",AEFA
A5070,"NAVAID FINANCIAL SERVICES, INC.",PHRS
A6410,"BUCKRAM SECURITIES LTD.",BUCS
A7614,"TRB CAPITAL MARKETS, LLC",ESTR
A7618,"STRONG CAPITAL MARKETS, LLC",SCAP
A5984,"WBB SECURITIES, LLC",WBBC
A2960,"WESTMINSTER FIN'L. SECS., INC.",WMFS
A0455,"OPPENHEIMER & CO. INC.",OPCO
A5860,"BRUCE A. LEFAVI SECURITIES, INC.",BALS
A7242,"BENCHMARK SECURITIES LLC",BMKS
A3944,"INVESTMENT PLACEMENT GROUP",IPGR
A4892,"A.BRIDGE-REALVEST SECURITIES CORP.",ABRV
A1036,"GARRETT NAGLE & CO., INC.",GARR
A5034,"THRIVENT INVESTMENT MANAGEMENT, INC.",AALC
A6366,"WELLS FARGO SECURITIES, LLC",WCHV
A1475,"MURIEL SIEBERT & CO., LLC",SBRT
A4047,"CONTINENTAL INVESTOR SERVICES",CONI
A6106,"CHELSEA FINANCIAL SERVICES",CFIN
A5833,"NEWBRIDGE SECURITIES CORPORATION",BRGE
A7118,"NI ADVISORS INC.",NIAD
A2272,"EQUITY SERVICES, INC.",EQSV
A7519,"BOFA SECURITIES, INC.",BOFA
A6577,"AOS, INC.",AOSD
A0147,"WILLIAM BLAIR & COMPANY, L.L.C.",WBNF
A5286,"PRUCO SECURITIES, LLC",PRUC
A7525,"CHURCHILL STATESIDE SECURITIES, LLC.",CSGA
A5164,"JOSEPH GUNNAR & CO. LLC",JGUN
A1313,"STIFEL, NICOLAUS & COMPANY,INC",CITY
A7517,"EMPOWER FINANCIAL SERVICES, INC.",MPWR
A2729,"GA REPPLE & COMPANY",REPP
A6670,"ANDES CAPITAL GROUP, LLC",ACGP
A4243,"SPENCER-WINSTON SECURITIES CO.",SPWI
A5065,"INVESTMENT PLANNERS, INC.",INPI
A5525,"HANTZ FINANCIAL SERVICES, INC.",HAFS
A1357,"THORNTON FARISH INC.",THFA
A7460,"STATE STREET GLOBAL MARKETS, LLC",SSLL
A7522,"FORTRESS PRIVATE LEDGER, LLC",FRTS
A6406,"MORGAN WILSHIRE SECURITIES, INC.",MWIL
B0368,"BANKERS' BANK INVESTMENT DEPT.",BBID
A5773,"TRADEWEB DIRECT LLC",TWDR
A0215,"JACK V BUTTERFIELD INVEST.",JVBF
A7175,"AURORA SECURITIES INC",ASII
A3712,"US SECURITIES INT'L, CORP",USIC
A7227,"PHX FINANCIAL, INC.",KCRD
A6202,"IDB CAPITAL CORP.",AJCO
A6415,"THE STRATEGIC FINANCIAL ALLIANCE, INC.",TSFA
A7631,"VAN CLEMENS & CO. INCORPORATED",VCFN
A2027,"SEAPORT SECURITIES CORPORATION",SEAP
A0438,"TRUIST SECURITIES, INC.",STCM
A6392,"DINOSAUR FINANCIAL GROUP, LLC",EGLE
A3613,"FIRST DALLAS SECURITIES, INC.",FDSI
A0251,"CARTY, HARDING & HEARN, INC.",CART
A6457,"OBEX SECURITIES LLC",OBEX
A7523,"SAN BLAS SECURITIES, LLC",SBLS
A7503,"TRUMID FINANCIAL LLC",TMID
A0365,"D.A. DAVIDSON & CO.",DADA
A7539,"MFR SECURITIES, INC",MFRS
